image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Nonliving_Things\Furniture\bedside_table.jpg,nonliving,right,1,1.5130458000057843,0.900502200005576,0.6125436000002082,practice,1,normal,left,7.838533000001917,7.838545900012832,8.78282270001364,9.228819900017697,10.116563700023107,10.717618499998935,
Living_Things\Animals\cat.jpg,living,left,1,1.0857519000128377,0.01049559999955818,1.0752563000132795,practice,2,normal,left,7.838533000001917,10.729054700001143,10.749703800014686,11.198131400014972,11.2037788000016,12.267465600016294,
Living_Things\Flowers\bellflowers.jpg,living,left,1,0.9786401000164915,0.016788400011137128,0.9618517000053544,practice,3,normal,left,7.838533000001917,12.279001300019445,12.299542499997187,12.73887320002541,12.749913300009212,13.700604500016198,
Nonliving_Things\Vehicles\car.jpg,nonliving,right,1,1.3041395999898668,0.2928810999728739,1.011258500016993,practice,4,normal,left,7.838533000001917,13.711712800024543,13.732881900010398,14.180255900020711,14.466583900008118,15.467219300015131,
Nonliving_Things\Buildings\house.jpg,nonliving,right,1,1.2049946000042837,0.010044599999673665,1.19495000000461,practice,5,normal,left,7.838533000001917,15.47775879999972,15.49962630000664,15.944094800011953,15.94970860000467,17.133916799997678,
Nonliving_Things\Furniture\Chest_of_drawers.jpg,nonliving,right,1,1.249001699994551,0.18681119999382645,1.0621905000007246,practice,6,normal,left,7.838533000001917,17.1446363000141,17.166558400000213,17.617241400002968,17.800050799996825,18.85081689999788,
Nonliving_Things\Tools\showel.jpg,nonliving,right,1,0.921400299994275,0.011880699981702492,0.9095196000125725,practice,7,normal,left,7.838533000001917,18.862197000009473,18.883340700005647,19.330543999996735,19.336520500015467,20.2340089000063,
Nonliving_Things\Furniture\sofa.jpg,nonliving,right,1,1.0253492000047117,0.012334900005953386,1.0130142999987584,practice,8,normal,left,7.838533000001917,20.245995500008576,20.26633280000533,20.70844539999962,20.716443000012077,21.717590900021605,
Nonliving_Things\Tools\handsaw.jpg,nonliving,right,1,0.9308377999986988,0.01848460000474006,0.9123531999939587,practice,9,normal,left,7.838533000001917,21.72944070000085,21.74977910000598,22.186897600011434,22.199651900009485,23.101295800006483,
Nonliving_Things\Furniture\couch.jpg,nonliving,right,1,0.8912914000102319,0.013671900000190362,0.8776195000100415,practice,10,normal,left,7.838533000001917,23.112005400005728,23.134372900007293,23.576982400001725,23.583508100011386,24.450983200018527,
